"<chr>","n","Mean","Median","Trimmed_Mean","SD","Min","Max","CV","Range","Skewness","Kurtosis"
"G1",24,13.2857142857143,6,13.2857142857143,12.9578069867074,2,35,0.975318805451091,33,0.865511547065019,2.05305913224152
"G2",24,10.1666666666667,6,10.1666666666667,9.08662020041922,3,22,0.89376592135271,19,0.532223769241049,1.45385752393966
"G3",24,24.1666666666667,19,24.1666666666667,24.5309328535762,1,66,1.01507308359626,65,0.767374276438388,2.34508559978445
"G4",24,9.6,7,9.6,9.12688336728371,2,25,0.950717017425386,23,1.11034378087806,2.72964479909611
