"<chr>","n","Mean","Median","Trimmed_Mean","SD","Min","Max","CV","Range","Skewness","Kurtosis"
"G1",24,93.7857142857143,92.5,93.7857142857143,15.4807868632302,65,111,0.165065511108319,46,-0.737877742804771,2.81225196289622
"G2",24,90.8333333333333,95,90.8333333333333,20.817460620034,57,112,0.229183052697622,55,-0.619935623959352,2.12034834214648
"G3",24,89.1666666666667,91.5,89.1666666666667,19.8334733888612,66,115,0.222431477258257,49,-0.0705538557094046,1.5905076661058
"G4",24,71.58,89.9,71.58,34.7330102352215,34,105,0.48523344838253,71,-0.332358985880464,1.21316507006028
